"_time","file_name","size_of_file",user
"1533121518.000","file_31559",46514,alice
"1533121520.000","file_36960",56061,alice
"1533121521.000","file_35040",91974,alice
"1533121552.000","file_47120",37132,alice
"1533121552.000","file_43979",63800,alice
"1533121553.000","file_25573",41967,alice
"1533121553.000","file_48430",58867,alice
"1533121609.000","file_25791",50664,alice
"1533121619.000","file_23744",71446,alice
"1533123355.000","file_38660",59106,alice
"1533123986.000","file_26349",63323,alice
"1533123987.000","file_31452",46519,alice
"1533123987.000","file_26038",33024,alice
"1533123987.000","file_24147",60589,alice
"1533123987.000","file_44151",59146,alice
"1533123987.000","file_21787",67664,alice
"1533124043.000","file_21559",40615,alice
"1533124051.000","file_1504",39373,alice
"1533124051.000","file_16085",33434,alice
"1533124051.000","file_7300",79596,alice
"1533124051.000","file_16405",63238,alice
"1533124051.000","file_46158",48869,alice
"1533124051.000","file_24873",65281,alice
"1533124118.000","file_49413",63072,alice
"1533124118.000","file_27797",34763,alice
"1533124118.000","file_48211",55902,alice
"1533124118.000","file_21906",57612,alice
"1533124118.000","file_42939",94222,alice
"1533124118.000","file_5782",57414,alice
"1533124183.000","file_17110",65005,alice
"1533124183.000","file_10041",75104,alice
"1533124183.000","file_11192",55089,alice
"1533124184.000","file_37741",62770,alice
"1533124184.000","file_37519",59433,alice
"1533124184.000","file_4874",47023,alice
"1533124250.000","file_7454",31203,alice
"1533124250.000","file_3481",75183,alice
"1533124250.000","file_37918",37247,alice
"1533124250.000","file_44358",93873,alice
"1533124250.000","file_41130",33119,alice
"1533124250.000","file_37714",86777,alice
"1533124596.000","file_2121",76308,alice
"1533124596.000","file_22067",72102,alice
"1533124596.000","file_30723",87342,alice
"1533124596.000","file_5407",49195,alice
"1533124596.000","file_19581",104909,alice
"1533124596.000","file_38563",50905,alice
"1533124911.000","file_42696",83265,alice
"1533124911.000","file_9366",84251,alice
"1533124911.000","file_4807",59590,alice
"1533124911.000","file_413",101602,alice
"1533124911.000","file_9754",98790,alice
"1533124911.000","file_44815",40716,alice
"1533125211.000","file_31373",103491,alice
"1533125211.000","file_28056",45340,alice
"1533125517.000","file_42266",80332,alice
"1533125518.000","file_15103",38893,alice
"1533125518.000","file_32704",41461,alice
"1533125518.000","file_45239",102532,alice
"1533125518.000","file_39086",96565,alice
"1533125518.000","file_40617",34788,alice
"1533125837.000","file_23146",59962,alice
"1533125837.000","file_10371",103854,alice
"1533125837.000","file_11505",54021,alice
"1533125837.000","file_40958",74779,alice
"1533125837.000","file_9613",40591,alice
"1533125837.000","file_21642",53666,alice
"1533126138.000","file_19387",34004,alice
"1533126138.000","file_41930",72166,alice
"1533126138.000","file_31962",58028,alice
"1533126138.000","file_17970",72897,alice
"1533126138.000","file_5724",85053,alice
"1533126138.000","file_21775",62776,alice
"1533126446.000","file_16956",88249,alice
"1533126446.000","file_42861",35400,alice
"1533126446.000","file_22671",57349,alice
"1533126446.000","file_41967",43601,alice
"1533126446.000","file_6148",57186,alice
"1533126447.000","file_33253",97419,alice
"1533126630.000","file_9623",100046,alice
"1533126631.000","file_27789",57341,alice
"1533134489.000","file_49230",53132,alice
"1533134493.000","file_4252",78242,alice
"1533134494.000","file_19765",102576,alice
"1533136683.000","file_32629",88155,alice
"1533136723.000","file_34629",32584,alice
"1533136731.000","file_15711",39723,alice
"1533167983.000","file_40389",61460,chuck
"1533169596.000","file_986",82787,chuck
"1533170567.000","file_3376",62642,chuck
"1533177537.000","file_24267",49004,chuck
"1533183794.000","file_35194",59425,chuck
"1533187904.000","file_44224",101935,chuck
"1533189251.000","file_35066",101500,chuck
"1533189447.000","file_176",55861,chuck
"1533190723.000","file_18665",52095,chuck
"1533195178.000","file_42704",53884,chuck
"1533198864.000","file_33167",33622,chuck
"1533199458.000","file_44338",93118,chuck
"1533270142.000","file_11652",96269,chuck
"1533270500.000","file_15696",67346,chuck
"1533270614.000","file_11391",44983,chuck
"1533270897.000","file_20718",83993,chuck
"1533273291.000","file_38859",81318,chuck
"1533275908.000","file_25707",46566,chuck
"1533276823.000","file_12606",38727,chuck
"1533277971.000","file_6302",49984,chuck
"1533279337.000","file_14040",43328,chuck
"1533281149.000","file_45871",74617,chuck
"1533512395.000","file_34280",32347,chuck
"1533512547.000","file_1981",32537,chuck
"1533518607.000","file_44524",100130,chuck
"1533518818.000","file_17300",40116,chuck
"1533519548.000","file_11156",66248,chuck
"1533522125.000","file_45686",63183,chuck
"1533523116.000","file_41383",74546,chuck
"1533523116.000","file_47620",30906,chuck
"1533523139.000","file_40128",92272,chuck
"1533523140.000","file_15403",32237,chuck
"1533527758.000","file_1180",70213,chuck
"1533528249.000","file_47947",101878,chuck
"1533528251.000","file_40948",82139,chuck
"1533537845.000","file_29847",70684,chuck
"1533537847.000","file_26410",55618,chuck
"1533540091.000","file_8908",87791,chuck
"1533540093.000","file_46930",77261,chuck
"1533699978.000","file_25101",85182,chuck
"1533703073.000","file_45581",71678,chuck
"1533704321.000","file_14507",96717,chuck
"1533704808.000","file_9695",85145,chuck
"1533704893.000","file_42572",31440,chuck
"1533714373.000","file_40837",64619,alice
"1533714937.000","file_44978",31659,alice
"1533776234.000","file_44725",75352,chuck
"1533776338.000","file_24204",30633,chuck
"1533778381.000","file_18180",32084,chuck
"1533778930.000","file_7207",78801,chuck
"1533782369.000","file_49166",60283,chuck
"1533787269.000","file_13876",84449,chuck
"1533789543.000","file_27554",56507,chuck
"1533790307.000","file_37010",45487,chuck
"1533804716.000","file_31131",49250,chuck
"1533805886.000","file_10604",47689,chuck
"1533850890.000","file_16358",95731,bob
"1533854238.000","file_31008",68742,bob
"1533860596.000","file_6445",89489,bob
"1533861209.000","file_1160",72953,bob
"1533861211.000","file_11989",57138,bob
"1533861212.000","file_36486",61070,bob
"1533864289.000","file_31860",80690,bob
"1533864292.000","file_386",99241,bob
"1533865039.000","file_42820",99772,bob
"1533866892.000","file_42542",37304,chuck
"1533867576.000","file_1185",54159,chuck
"1533867702.000","file_32686",36942,chuck
"1533868635.000","file_24934",105415,bob
"1533871264.000","file_4161",71898,chuck
"1533871266.000","file_22812",96045,chuck
"1533872223.000","file_24757",51026,bob
"1533873336.000","file_30320",76527,chuck
"1533877055.000","file_43720",99322,chuck
"1533880276.000","file_23660",33986,bob
"1533880958.000","file_29377",36809,bob
"1533881261.000","file_37234",76573,chuck
"1533882745.000","file_33237",99835,bob
"1533890245.000","file_27296",45456,bob
"1533893561.000","file_16580",65843,bob
"1533906296.000","file_17093",77178,bob
"1533908122.000","file_17708",89141,bob
"1533915302.000","file_2035",99078,bob
"1533917704.000","file_33463",52477,bob
"1533938232.000","file_26150",98482,bob
"1533938235.000","file_7305",55630,bob
"1533938236.000","file_21823",81034,bob
"1533938239.000","file_2304",98092,bob
"1533938240.000","file_24211",94044,bob
"1533938244.000","file_20161",82670,bob
"1533941544.000","file_7136",97328,bob
"1533941709.000","file_26947",94666,bob
"1533948444.000","file_28860",105249,bob
"1533960103.000","file_21551",76990,bob
"1533966789.000","file_40094",32963,bob
"1533967321.000","file_17419",31757,bob
"1533970935.000","file_15400",100090,bob
"1533978121.000","file_43554",57761,bob
"1533981481.000","file_32364",92303,bob
"1533981735.000","file_16941",31071,bob
"1533984146.000","file_28901",101857,bob
"1533984178.000","file_24433",54610,bob
"1533984179.000","file_7495",84361,bob
"1533984279.000","file_35504",93060,bob
"1533985336.000","file_37107",77435,bob
"1533989827.000","file_25295",48766,bob
"1533996745.000","file_21607",100726,bob
"1534001016.000","file_3930",84773,bob
"1534008058.000","file_11753",73585,bob
"1534023070.000","file_15285",49778,bob
"1534023582.000","file_1147",31634,bob
"1534028072.000","file_18379",75291,bob
"1534031776.000","file_32100",62794,bob
"1534031799.000","file_36324",65110,bob
"1534034084.000","file_27109",69073,bob
"1534048485.000","file_12997",99697,bob
"1534048515.000","file_26268",104081,bob
"1534050244.000","file_28622",38153,bob
"1534057086.000","file_43968",103432,bob
"1534074576.000","file_30468",92273,bob
"1534074613.000","file_34565",65846,bob
"1534074722.000","file_49671",73956,bob
"1534075443.000","file_49158",86247,bob
"1534075444.000","file_47709",71390,bob
"1534078320.000","file_7199",32649,bob
"1534085895.000","file_40046",36089,bob
"1534089465.000","file_17261",57451,bob
"1534093231.000","file_5736",53561,bob
"1534107832.000","file_28011",57973,bob
"1534107833.000","file_15135",56711,bob
"1534107835.000","file_17109",80095,bob
"1534111207.000","file_46241",52306,bob
"1534111212.000","file_23211",50309,bob
"1534111214.000","file_30946",52981,bob
"1534111224.000","file_26399",67177,bob
"1534111225.000","file_23482",86685,bob
"1534114544.000","file_45582",78169,bob
"1534116219.000","file_1374",59999,chuck
"1534116325.000","file_39010",104953,chuck
"1534118136.000","file_12984",54446,bob
"1534118408.000","file_2417",48355,chuck
"1534125557.000","file_42278",99081,bob
"1534126244.000","file_581",67297,bob
"1534126349.000","file_25642",34083,chuck
"1534126350.000","file_36374",73786,chuck
"1534126509.000","file_49303",82509,chuck
"1534126881.000","file_5047",80987,chuck
"1534136966.000","file_2656",41964,bob
"1534144159.000","file_19754",81615,bob
"1534156262.000","file_14898",73167,bob
"1534163101.000","file_14969",78216,bob
"1534167017.000","file_28460",83477,bob
"1534178693.000","file_16151",99493,bob
"1534185065.000","file_40936",33168,bob
"1534196302.000","file_16742",82005,bob
"1534196303.000","file_26012",75997,bob
"1534203241.000","file_28479",64623,bob
"1534206834.000","file_24812",63990,bob
"1534214042.000","file_44512",68901,bob
"1534217683.000","file_28911",43862,bob
"1534221234.000","file_16851",48716,bob
"1534224841.000","file_18021",83209,bob
"1534224898.000","file_47818",80191,chuck
"1534226604.000","file_34162",80456,chuck
"1534228103.000","file_23814",53698,bob
"1534243028.000","file_10188",37959,bob
"1534253163.000","file_32953",78543,bob
"1534253635.000","file_48185",80754,bob
"1534261137.000","file_5820",34106,bob
"1534268060.000","file_10197",43167,bob
"1534282286.000","file_38680",72712,bob
"1534282289.000","file_12670",73556,bob
"1534292831.000","file_17210",62954,bob
"1534296447.000","file_39232",99702,bob
"1534310831.000","file_27910",76975,bob
"1534313779.000","file_5009",58602,chuck
"1534318422.000","file_27526",76236,bob
"1534321932.000","file_22244",76554,bob
"1534325439.000","file_46611",50710,chuck
"1534325565.000","file_1936",39905,chuck
"1534325892.000","file_48839",81894,chuck
"1534332661.000","file_24685",94623,bob
"1534332662.000","file_11115",64152,bob
"1534333508.000","file_39343",53171,bob
"1534344041.000","file_13715",44459,bob
"1534354144.000","file_21933",75939,bob
"1534368409.000","file_4414",49451,bob
"1534368419.000","file_49043",36671,bob
"1534368452.000","file_5633",37659,bob
"1534368453.000","file_11929",96466,bob
"1534368454.000","file_8846",83865,bob
"1534378029.000","file_42440",42965,chuck
"1534381919.000","file_21623",52727,bob
"1534382370.000","file_22986",96171,chuck
"1534385776.000","file_8179",34288,bob
"1534389336.000","file_28326",100531,bob
"1534392896.000","file_4346",50628,chuck
"1534392897.000","file_34027",58874,chuck
"1534392983.000","file_3",45047,bob
"1534394786.000","file_35527",85770,bob
"1534395237.000","file_49172",95909,chuck
"1534395497.000","file_48221",102244,bob
"1534396537.000","file_30167",101206,bob
"1534400148.000","file_21032",103988,bob
"1534400282.000","file_33327",49299,bob
"1534420582.000","file_5876",91661,bob
"1534430394.000","file_31865",99104,bob
"1534436835.000","file_45998",70637,bob
"1534450748.000","file_48331",88881,bob
"1534455514.000","file_28671",40475,bob
"1534455515.000","file_27960",46294,bob
"1534458879.000","file_45493",55076,bob
"1534466114.000","file_1537",33834,bob
"1534466936.000","file_44662",78659,chuck
"1534468082.000","file_47451",34770,chuck
"1534468083.000","file_38885",63286,chuck
"1534469437.000","file_48458",36175,bob
"1534473037.000","file_22219",86906,bob
"1534476637.000","file_36691",62347,bob
"1534480238.000","file_25795",60577,bob
"1534481151.000","file_10640",63722,chuck
"1534483820.000","file_10973",55750,bob
"1534489011.000","file_47070",66735,chuck
"1534493787.000","file_12046",33447,chuck
"1534494253.000","file_12470",31609,chuck
"1534506032.000","file_29469",90274,bob
"1534510598.000","file_44258",84276,bob
"1534514453.000","file_9490",58331,bob
"1534514455.000","file_33778",94270,bob
"1534514602.000","file_48180",41256,bob
"1534514603.000","file_48215",83384,bob
"1534541407.000","file_40053",71851,bob
"1534541415.000","file_20752",32437,bob
"1534541417.000","file_11364",86271,bob
"1534544716.000","file_13955",87530,bob
"1534552096.000","file_10875",75587,bob
"1534555507.000","file_9349",63207,bob
"1534566320.000","file_24481",88171,bob
"1534574416.000","file_3574",62499,bob
"1534578048.000","file_49106",87769,bob
"1534586102.000","file_45662",77202,bob
"1534593198.000","file_47983",48693,bob
"1534600349.000","file_18132",36228,bob
"1534604102.000","file_14233",104566,bob
"1534608780.000","file_34400",40947,bob
"1534628308.000","file_23648",54820,bob
"1534628310.000","file_45521",46735,bob
"1534628311.000","file_9193",37416,bob
"1534639295.000","file_46246",87134,bob
"1534640162.000","file_37949",104297,bob
"1534643786.000","file_46412",36375,bob
"1534644659.000","file_35476",100088,chuck
"1534646918.000","file_44507",78993,bob
"1534653114.000","file_45713",104599,bob
"1534654313.000","file_28512",79899,bob
"1534656715.000","file_41489",61444,bob
"1534657913.000","file_49714",49197,bob
"1534661514.000","file_12575",51874,bob
"1534665244.000","file_9260",55813,bob
"1534671945.000","file_28616",94957,bob
"1534672962.000","file_11454",50343,chuck
"1534675262.000","file_18534",88661,bob
"1534678845.000","file_28816",43863,bob
"1534693506.000","file_10630",90367,bob
"1534700753.000","file_33520",32788,bob
"1534707918.000","file_9935",77039,bob
"1534714020.000","file_15668",102641,bob
"1534714022.000","file_13220",35185,bob
"1534714023.000","file_46900",42365,bob
"1534714024.000","file_29904",105462,bob
"1534717313.000","file_17633",71825,bob
"1534719945.000","file_14653",77455,bob
"1534719964.000","file_46645",78845,bob
"1534720836.000","file_19016",63409,chuck
"1534722724.000","file_28122",44943,bob
"1534724127.000","file_11254",92682,chuck
"1534724130.000","file_147",95993,chuck
"1534724233.000","file_5821",75422,chuck
"1534724233.000","file_38157",96747,chuck
"1534724299.000","file_28458",97962,chuck
"1534724299.000","file_31854",86427,chuck
"1534724299.000","file_25785",101292,chuck
"1534724371.000","file_22552",37111,chuck
"1534724372.000","file_3744",84975,chuck
"1534724454.000","file_37786",66229,chuck
"1534724455.000","file_33496",71533,chuck
"1534724455.000","file_11680",84444,chuck
"1534724513.000","file_39565",72694,bob
"1534724889.000","file_22866",74844,chuck
"1534724889.000","file_3683",48125,chuck
"1534725211.000","file_5382",94154,chuck
"1534725211.000","file_11507",89035,chuck
"1534725356.000","file_16848",63325,chuck
"1534730936.000","file_7610",78432,bob
"1534731714.000","file_6116",97299,bob
"1534741884.000","file_41355",88591,chuck
"1534742332.000","file_19269",79159,chuck
"1534743408.000","file_11942",100739,chuck
"1534751863.000","file_2233",103942,chuck
"1534766009.000","file_7374",72641,bob
"1534780206.000","file_23084",78521,bob
"1534788889.000","file_9992",82279,bob
"1534790162.000","file_8366",76715,bob
"1534796770.000","file_38049",49402,bob
"1534796771.000","file_12536",38030,bob
"1534796771.000","file_16350",82929,bob
"1534796801.000","file_18809",102805,bob
"1534796801.000","file_10789",81199,bob
"1534796802.000","file_42843",32457,bob
"1534796802.000","file_34431",101914,bob
"1534796803.000","file_25497",56558,bob
"1534796804.000","file_22542",59944,bob
"1534797361.000","file_28719",47600,bob
"1534800962.000","file_35228",80684,bob
"1534802867.000","file_7681",41826,chuck
"1534802867.000","file_13613",90215,chuck
"1534802873.000","file_9341",103862,chuck
"1534802875.000","file_19423",83258,chuck
"1534802876.000","file_45761",102806,chuck
"1534802876.000","file_23138",100099,chuck
"1534802876.000","file_2638",95186,chuck
"1534802878.000","file_32101",75384,chuck
"1534802878.000","file_4078",36343,chuck
"1534802882.000","file_499",89008,chuck
"1534802884.000","file_4440",59011,chuck
"1534802885.000","file_24732",100400,chuck
"1534802886.000","file_15513",62520,chuck
"1534802886.000","file_33703",31959,chuck
"1534802887.000","file_2921",96606,chuck
"1534802891.000","file_30789",35451,chuck
"1534802895.000","file_22381",72739,chuck
"1534802895.000","file_21284",104397,chuck
"1534802895.000","file_28296",65510,chuck
"1534802895.000","file_39162",62601,chuck
"1534802897.000","file_34959",102260,chuck
"1534802897.000","file_19275",85876,chuck
"1534802900.000","file_13319",34668,chuck
"1534802901.000","file_5162",39426,chuck
"1534802901.000","file_19667",91631,chuck
"1534802904.000","file_5135",84852,chuck
"1534802904.000","file_17247",79871,chuck
"1534802904.000","file_34913",69084,chuck
"1534802907.000","file_22551",83612,chuck
"1534802907.000","file_15986",45816,chuck
"1534802912.000","file_4619",55883,chuck
"1534802914.000","file_46279",97340,chuck
"1534802914.000","file_42228",37442,chuck
"1534802914.000","file_4367",75111,chuck
"1534802914.000","file_5252",72419,chuck
"1534802917.000","file_48701",71461,chuck
"1534802920.000","file_48051",92086,chuck
"1534802927.000","file_19689",34904,chuck
"1534802934.000","file_30076",77382,chuck
"1534802936.000","file_37359",78947,chuck
"1534802946.000","file_13260",91505,chuck
"1534802948.000","file_18719",101483,chuck
"1534802949.000","file_49536",99132,chuck
"1534802952.000","file_39092",76673,chuck
"1534802952.000","file_24294",52327,chuck
"1534802971.000","file_15750",83150,chuck
"1534803023.000","file_39852",64006,chuck
"1534803075.000","file_2769",55243,chuck
"1534803076.000","file_32122",34048,chuck
"1534803076.000","file_10972",101188,chuck
"1534803081.000","file_26608",31271,chuck
"1534803081.000","file_45501",82429,chuck
"1534803083.000","file_46155",105137,chuck
"1534803083.000","file_3796",55914,chuck
"1534803087.000","file_21098",72799,chuck
"1534803096.000","file_6471",45107,chuck
"1534803096.000","file_22576",35835,chuck
"1534803098.000","file_8942",52663,chuck
"1534803103.000","file_48018",63366,chuck
"1534803103.000","file_6484",69827,chuck
"1534803105.000","file_38247",50922,chuck
"1534803105.000","file_45829",89507,chuck
"1534803106.000","file_485",75219,chuck
"1534803114.000","file_26842",41938,chuck
"1534803114.000","file_48332",65808,chuck
"1534803119.000","file_32746",90694,chuck
"1534803124.000","file_11741",49999,chuck
"1534803126.000","file_43686",42411,chuck
"1534803129.000","file_3022",73779,chuck
"1534803137.000","file_18639",32807,chuck
"1534803137.000","file_47686",39448,chuck
"1534803146.000","file_6041",49077,chuck
"1534803146.000","file_15288",64391,chuck
"1534803154.000","file_8335",90014,chuck
"1534803154.000","file_20091",95199,chuck
"1534803158.000","file_46244",65488,chuck
"1534803163.000","file_2365",42363,chuck
"1534803163.000","file_48057",69135,chuck
"1534803165.000","file_20867",34815,chuck
"1534803177.000","file_49843",50781,chuck
"1534803183.000","file_21937",72130,chuck
"1534803185.000","file_22296",85589,chuck
"1534803185.000","file_38952",75905,chuck
"1534803192.000","file_23298",41426,chuck
"1534803194.000","file_40400",90489,chuck
"1534803197.000","file_29551",96451,chuck
"1534803207.000","file_40421",100349,chuck
"1534803207.000","file_38242",32430,chuck
"1534803215.000","file_45919",70919,chuck
"1534803216.000","file_19709",45199,chuck
"1534803217.000","file_7034",77773,chuck
"1534803219.000","file_4989",88099,chuck
"1534803227.000","file_35497",63865,chuck
"1534803237.000","file_25212",86336,chuck
"1534803238.000","file_37799",81733,chuck
"1534803246.000","file_9996",99551,chuck
"1534803247.000","file_13010",93334,chuck
"1534803255.000","file_44871",99877,chuck
"1534803257.000","file_47153",67327,chuck
"1534803268.000","file_12181",48329,chuck
"1534803275.000","file_9168",101709,chuck
"1534803277.000","file_45359",102785,chuck
"1534803278.000","file_24169",59007,chuck
"1534803287.000","file_1109",32961,chuck
"1534803290.000","file_27125",83938,chuck
"1534803292.000","file_14481",77059,chuck
"1534803297.000","file_33973",100600,chuck
"1534803299.000","file_6717",57660,chuck
"1534803310.000","file_26525",90221,chuck
"1534803319.000","file_16075",43309,chuck
"1534803321.000","file_17469",56799,chuck
"1534803323.000","file_41083",60381,chuck
"1534803324.000","file_8643",84190,chuck
"1534803325.000","file_21504",49146,chuck
"1534803330.000","file_31102",80179,chuck
"1534803330.000","file_8747",99154,chuck
"1534803332.000","file_34527",72778,chuck
"1534803339.000","file_42226",33304,chuck
"1534803339.000","file_43610",39406,chuck
"1534803341.000","file_42821",42621,chuck
"1534803343.000","file_33045",92852,chuck
"1534803348.000","file_25147",61413,chuck
"1534803348.000","file_15862",81113,chuck
"1534803350.000","file_19335",82020,chuck
"1534803350.000","file_3368",33929,chuck
"1534803358.000","file_38653",75487,chuck
"1534803358.000","file_36483",47169,chuck
"1534803369.000","file_34095",49746,chuck
"1534803372.000","file_47825",91173,chuck
"1534803379.000","file_40437",83612,chuck
"1534803380.000","file_15739",60761,chuck
"1534803382.000","file_632",103193,chuck
"1534803389.000","file_45340",97529,chuck
"1534803389.000","file_4725",46928,chuck
"1534803391.000","file_22553",91028,chuck
"1534803393.000","file_10345",30757,chuck
"1534803398.000","file_33297",56240,chuck
"1534803401.000","file_46201",82876,chuck
"1534803409.000","file_25739",52282,chuck
"1534803409.000","file_29521",87732,chuck
"1534803411.000","file_28137",33451,chuck
"1534803414.000","file_14952",86570,chuck
"1534803421.000","file_12078",73878,chuck
"1534803421.000","file_5745",38186,chuck
"1534803423.000","file_14519",69393,chuck
"1534803429.000","file_37727",70793,chuck
"1534803429.000","file_8714",103378,chuck
"1534803431.000","file_19480",52690,chuck
"1534803444.000","file_47007",87851,chuck
"1534803449.000","file_45566",67190,chuck
"1534803449.000","file_39467",87555,chuck
"1534803460.000","file_14138",46506,chuck
"1534803467.000","file_12215",52990,chuck
"1534803476.000","file_18965",45071,chuck
"1534803478.000","file_26957",50156,chuck
"1534803478.000","file_49124",89668,chuck
"1534803486.000","file_16872",90828,chuck
"1534803487.000","file_35808",104153,chuck
"1534803495.000","file_6635",77113,chuck
"1534803496.000","file_3528",38551,chuck
"1534803499.000","file_6020",68019,chuck
"1534803506.000","file_27877",95931,chuck
"1534803506.000","file_25491",105368,chuck
"1534803508.000","file_4",68046,chuck
"1534803508.000","file_2757",48977,chuck
"1534803511.000","file_611",84702,chuck
"1534803520.000","file_17978",92751,chuck
"1534803521.000","file_21466",53887,chuck
"1534803522.000","file_4928",53198,chuck
"1534803523.000","file_4013",93160,chuck
"1534803530.000","file_16238",88924,chuck
"1534803532.000","file_20044",75540,chuck
"1534803532.000","file_35804",71719,chuck
"1534803544.000","file_3842",41195,chuck
"1534803546.000","file_38840",49007,chuck
"1534803562.000","file_40447",76004,chuck
"1534803569.000","file_33740",84468,chuck
"1534803570.000","file_32168",93989,chuck
"1534803571.000","file_48138",50335,chuck
"1534803578.000","file_26520",52317,chuck
"1534803588.000","file_34406",83887,chuck
"1534803590.000","file_1551",75832,chuck
"1534803597.000","file_30142",61715,chuck
"1534803607.000","file_30465",81120,chuck
"1534803615.000","file_22959",64279,chuck
"1534803620.000","file_122",95579,chuck
"1534803623.000","file_3299",76221,chuck
"1534803626.000","file_14141",62873,chuck
"1534803634.000","file_38827",94995,chuck
"1534803641.000","file_34446",70592,chuck
"1534803643.000","file_7525",75679,chuck
"1534803650.000","file_13736",46198,chuck
"1534803650.000","file_17113",85215,chuck
"1534803652.000","file_21994",95551,chuck
"1534803657.000","file_27711",102921,chuck
"1534803662.000","file_13568",79063,chuck
"1534803662.000","file_23601",39531,chuck
"1534803664.000","file_6314",47019,chuck
"1534803664.000","file_2665",61170,chuck
"1534803673.000","file_36261",57061,chuck
"1534803674.000","file_39359",55493,chuck
"1534803675.000","file_40670",87446,chuck
"1534803679.000","file_42154",35211,chuck
"1534803682.000","file_12495",79019,chuck
"1534803682.000","file_47578",71883,chuck
"1534803684.000","file_363",41475,chuck
"1534803689.000","file_1483",103654,chuck
"1534803695.000","file_43976",33686,chuck
"1534803696.000","file_5658",33431,chuck
"1534803697.000","file_3826",40399,chuck
"1534803707.000","file_9974",83593,chuck
"1534803709.000","file_26337",31278,chuck
"1534803713.000","file_12218",54863,chuck
"1534803713.000","file_40320",92226,chuck
"1534803715.000","file_40621",87877,chuck
"1534803715.000","file_41522",92122,chuck
"1534803725.000","file_49423",53738,chuck
"1534803727.000","file_29530",44807,chuck
"1534803727.000","file_40104",52185,chuck
"1534803736.000","file_49273",85747,chuck
"1534803747.000","file_39698",35031,chuck
"1534803755.000","file_17414",77474,chuck
"1534803756.000","file_15669",90452,chuck
"1534803756.000","file_7166",70698,chuck
"1534803761.000","file_4342",73771,chuck
"1534803766.000","file_464",53549,chuck
"1534803766.000","file_24739",67188,chuck
