"_time",signature,sourcetype,user
"1533124183.000","dlp_rule_9",dlp,alice
"1533124184.000","dlp_rule_10",dlp,alice
"1533124184.000","dlp_rule_6",dlp,alice
"1533124184.000","dlp_rule_20",dlp,alice
"1533124250.000","dlp_rule_18",dlp,alice
"1533124250.000","dlp_rule_1",dlp,alice
"1533124250.000","dlp_rule_4",dlp,alice
"1533124250.000","dlp_rule_8",dlp,alice
"1533124250.000","dlp_rule_2",dlp,alice
"1533124250.000","dlp_rule_11",dlp,alice
"1533124596.000","dlp_rule_11",dlp,alice
"1533124596.000","dlp_rule_17",dlp,alice
"1533124596.000","dlp_rule_8",dlp,alice
"1533124596.000","dlp_rule_8",dlp,alice
"1533124596.000","dlp_rule_18",dlp,alice
"1533124596.000","dlp_rule_18",dlp,alice
"1533124911.000","dlp_rule_6",dlp,alice
"1533124911.000","dlp_rule_13",dlp,alice
"1533124911.000","dlp_rule_10",dlp,alice
"1533124911.000","dlp_rule_12",dlp,alice
"1533124911.000","dlp_rule_3",dlp,alice
"1533124911.000","dlp_rule_18",dlp,alice
"1533125211.000","dlp_rule_10",dlp,alice
"1533125211.000","dlp_rule_18",dlp,alice
"1533125517.000","dlp_rule_9",dlp,alice
"1533125518.000","dlp_rule_18",dlp,alice
"1533125518.000","dlp_rule_8",dlp,alice
"1533125518.000","dlp_rule_19",dlp,alice
"1533125518.000","dlp_rule_2",dlp,alice
"1533125518.000","dlp_rule_5",dlp,alice
"1533125837.000","dlp_rule_9",dlp,alice
"1533125837.000","dlp_rule_19",dlp,alice
"1533125837.000","dlp_rule_2",dlp,alice
"1533125837.000","dlp_rule_15",dlp,alice
"1533125837.000","dlp_rule_19",dlp,alice
"1533125837.000","dlp_rule_14",dlp,alice
"1533126138.000","dlp_rule_17",dlp,alice
"1533126138.000","dlp_rule_11",dlp,alice
"1533126138.000","dlp_rule_14",dlp,alice
"1533126138.000","dlp_rule_11",dlp,alice
"1533126138.000","dlp_rule_3",dlp,alice
"1533126138.000","dlp_rule_7",dlp,alice
"1533126446.000","dlp_rule_17",dlp,alice
"1533126446.000","dlp_rule_13",dlp,alice
"1533126446.000","dlp_rule_5",dlp,alice
"1533126446.000","dlp_rule_13",dlp,alice
"1533126446.000","dlp_rule_7",dlp,alice
"1533126447.000","dlp_rule_9",dlp,alice
"1533126630.000","dlp_rule_4",dlp,alice
"1533126631.000","dlp_rule_17",dlp,alice
"1533134489.000","dlp_rule_9",dlp,alice
"1533134493.000","dlp_rule_12",dlp,alice
"1533134494.000","dlp_rule_8",dlp,alice
"1533136683.000","dlp_rule_17",dlp,alice
"1533136723.000","dlp_rule_16",dlp,alice
"1533136731.000","dlp_rule_18",dlp,alice
"1533167983.000","dlp_rule_19",dlp,chuck
"1533169596.000","dlp_rule_8",dlp,chuck
"1533170567.000","dlp_rule_14",dlp,chuck
"1533177537.000","dlp_rule_18",dlp,chuck
"1533183794.000","dlp_rule_10",dlp,chuck
"1533187904.000","dlp_rule_9",dlp,chuck
"1533189251.000","dlp_rule_4",dlp,chuck
"1533189447.000","dlp_rule_10",dlp,chuck
"1533190723.000","dlp_rule_20",dlp,chuck
"1533195178.000","dlp_rule_2",dlp,chuck
"1533198864.000","dlp_rule_6",dlp,chuck
"1533199458.000","dlp_rule_20",dlp,chuck
"1533270142.000","dlp_rule_3",dlp,chuck
"1533270500.000","dlp_rule_15",dlp,chuck
"1533270614.000","dlp_rule_17",dlp,chuck
"1533270897.000","dlp_rule_3",dlp,chuck
"1533273291.000","dlp_rule_3",dlp,chuck
"1533275908.000","dlp_rule_6",dlp,chuck
"1533276823.000","dlp_rule_10",dlp,chuck
"1533277971.000","dlp_rule_3",dlp,chuck
"1533279337.000","dlp_rule_20",dlp,chuck
"1533281149.000","dlp_rule_14",dlp,chuck
"1533512395.000","dlp_rule_6",dlp,chuck
"1533512547.000","dlp_rule_14",dlp,chuck
"1533518607.000","dlp_rule_14",dlp,chuck
"1533518818.000","dlp_rule_1",dlp,chuck
"1533519548.000","dlp_rule_2",dlp,chuck
"1533522125.000","dlp_rule_4",dlp,chuck
"1533523116.000","dlp_rule_11",dlp,chuck
"1533523116.000","dlp_rule_14",dlp,chuck
"1533523139.000","dlp_rule_20",dlp,chuck
"1533523140.000","dlp_rule_7",dlp,chuck
"1533527758.000","dlp_rule_14",dlp,chuck
"1533528249.000","dlp_rule_7",dlp,chuck
"1533528251.000","dlp_rule_15",dlp,chuck
"1533537845.000","dlp_rule_19",dlp,chuck
"1533537847.000","dlp_rule_8",dlp,chuck
"1533540091.000","dlp_rule_6",dlp,chuck
"1533540093.000","dlp_rule_12",dlp,chuck
"1533699978.000","dlp_rule_6",dlp,chuck
"1533703073.000","dlp_rule_15",dlp,chuck
"1533704321.000","dlp_rule_2",dlp,chuck
"1533704808.000","dlp_rule_17",dlp,chuck
"1533704893.000","dlp_rule_18",dlp,chuck
"1533714373.000","dlp_rule_1",dlp,alice
"1533714937.000","dlp_rule_17",dlp,alice
"1533776234.000","dlp_rule_6",dlp,chuck
"1533776338.000","dlp_rule_6",dlp,chuck
"1533778381.000","dlp_rule_1",dlp,chuck
"1533778930.000","dlp_rule_9",dlp,chuck
"1533782369.000","dlp_rule_1",dlp,chuck
"1533787269.000","dlp_rule_8",dlp,chuck
"1533789543.000","dlp_rule_11",dlp,chuck
"1533790307.000","dlp_rule_9",dlp,chuck
"1533804716.000","dlp_rule_7",dlp,chuck
"1533805886.000","dlp_rule_20",dlp,chuck
"1533850890.000","dlp_rule_17",dlp,bob
"1533854238.000","dlp_rule_1",dlp,bob
"1533860596.000","dlp_rule_17",dlp,bob
"1533861209.000","dlp_rule_4",dlp,bob
"1533861211.000","dlp_rule_20",dlp,bob
"1533861212.000","dlp_rule_1",dlp,bob
"1533864289.000","dlp_rule_11",dlp,bob
"1533864292.000","dlp_rule_3",dlp,bob
"1533865039.000","dlp_rule_18",dlp,bob
"1533866892.000","dlp_rule_20",dlp,chuck
"1533867576.000","dlp_rule_13",dlp,chuck
"1533867702.000","dlp_rule_14",dlp,chuck
"1533868635.000","dlp_rule_19",dlp,bob
"1533871264.000","dlp_rule_7",dlp,chuck
"1533871266.000","dlp_rule_19",dlp,chuck
"1533872223.000","dlp_rule_11",dlp,bob
"1533873336.000","dlp_rule_2",dlp,chuck
"1533877055.000","dlp_rule_10",dlp,chuck
"1533880276.000","dlp_rule_3",dlp,bob
"1533880958.000","dlp_rule_16",dlp,bob
"1533881261.000","dlp_rule_15",dlp,chuck
"1533882745.000","dlp_rule_14",dlp,bob
"1533890245.000","dlp_rule_17",dlp,bob
"1533893561.000","dlp_rule_15",dlp,bob
"1533906296.000","dlp_rule_6",dlp,bob
"1533908122.000","dlp_rule_14",dlp,bob
"1533915302.000","dlp_rule_6",dlp,bob
"1533917704.000","dlp_rule_15",dlp,bob
"1533938232.000","dlp_rule_5",dlp,bob
"1533938235.000","dlp_rule_4",dlp,bob
"1533938236.000","dlp_rule_11",dlp,bob
"1533938239.000","dlp_rule_14",dlp,bob
"1533938240.000","dlp_rule_15",dlp,bob
"1533938244.000","dlp_rule_2",dlp,bob
"1533941544.000","dlp_rule_10",dlp,bob
"1533941709.000","dlp_rule_4",dlp,bob
"1533948444.000","dlp_rule_12",dlp,bob
"1533960103.000","dlp_rule_2",dlp,bob
"1533966789.000","dlp_rule_5",dlp,bob
"1533967321.000","dlp_rule_16",dlp,bob
"1533970935.000","dlp_rule_19",dlp,bob
"1533978121.000","dlp_rule_1",dlp,bob
"1533981481.000","dlp_rule_8",dlp,bob
"1533981735.000","dlp_rule_9",dlp,bob
"1533984146.000","dlp_rule_6",dlp,bob
"1533984178.000","dlp_rule_15",dlp,bob
"1533984179.000","dlp_rule_5",dlp,bob
"1533984279.000","dlp_rule_14",dlp,bob
"1533985336.000","dlp_rule_3",dlp,bob
"1533989827.000","dlp_rule_5",dlp,bob
"1533996745.000","dlp_rule_10",dlp,bob
"1534001016.000","dlp_rule_7",dlp,bob
"1534008058.000","dlp_rule_17",dlp,bob
"1534023070.000","dlp_rule_5",dlp,bob
"1534023582.000","dlp_rule_2",dlp,bob
"1534028072.000","dlp_rule_11",dlp,bob
"1534031776.000","dlp_rule_17",dlp,bob
"1534031799.000","dlp_rule_20",dlp,bob
"1534034084.000","dlp_rule_18",dlp,bob
"1534048485.000","dlp_rule_2",dlp,bob
"1534048515.000","dlp_rule_15",dlp,bob
"1534050244.000","dlp_rule_5",dlp,bob
"1534057086.000","dlp_rule_13",dlp,bob
"1534074576.000","dlp_rule_11",dlp,bob
"1534074613.000","dlp_rule_1",dlp,bob
"1534074722.000","dlp_rule_4",dlp,bob
"1534075443.000","dlp_rule_20",dlp,bob
"1534075444.000","dlp_rule_11",dlp,bob
"1534078320.000","dlp_rule_9",dlp,bob
"1534085895.000","dlp_rule_13",dlp,bob
"1534089465.000","dlp_rule_14",dlp,bob
"1534093231.000","dlp_rule_11",dlp,bob
"1534107832.000","dlp_rule_7",dlp,bob
"1534107833.000","dlp_rule_20",dlp,bob
"1534107835.000","dlp_rule_1",dlp,bob
"1534111207.000","dlp_rule_7",dlp,bob
"1534111212.000","dlp_rule_4",dlp,bob
"1534111214.000","dlp_rule_5",dlp,bob
"1534111224.000","dlp_rule_12",dlp,bob
"1534111225.000","dlp_rule_6",dlp,bob
"1534114544.000","dlp_rule_14",dlp,bob
"1534116219.000","dlp_rule_2",dlp,chuck
"1534116325.000","dlp_rule_13",dlp,chuck
"1534118136.000","dlp_rule_16",dlp,bob
"1534118408.000","dlp_rule_4",dlp,chuck
"1534125557.000","dlp_rule_10",dlp,bob
"1534126244.000","dlp_rule_6",dlp,bob
"1534126349.000","dlp_rule_16",dlp,chuck
"1534126350.000","dlp_rule_3",dlp,chuck
"1534126509.000","dlp_rule_6",dlp,chuck
"1534126881.000","dlp_rule_17",dlp,chuck
"1534136966.000","dlp_rule_14",dlp,bob
"1534144159.000","dlp_rule_12",dlp,bob
"1534156262.000","dlp_rule_15",dlp,bob
"1534163101.000","dlp_rule_9",dlp,bob
"1534167017.000","dlp_rule_2",dlp,bob
"1534178693.000","dlp_rule_16",dlp,bob
"1534185065.000","dlp_rule_9",dlp,bob
"1534196302.000","dlp_rule_6",dlp,bob
"1534196303.000","dlp_rule_15",dlp,bob
"1534203241.000","dlp_rule_6",dlp,bob
"1534206834.000","dlp_rule_12",dlp,bob
"1534214042.000","dlp_rule_3",dlp,bob
"1534217683.000","dlp_rule_17",dlp,bob
"1534221234.000","dlp_rule_20",dlp,bob
"1534224841.000","dlp_rule_7",dlp,bob
"1534224898.000","dlp_rule_20",dlp,chuck
"1534226604.000","dlp_rule_11",dlp,chuck
"1534228103.000","dlp_rule_8",dlp,bob
"1534243028.000","dlp_rule_14",dlp,bob
"1534253163.000","dlp_rule_5",dlp,bob
"1534253635.000","dlp_rule_11",dlp,bob
"1534261137.000","dlp_rule_20",dlp,bob
"1534268060.000","dlp_rule_13",dlp,bob
"1534282286.000","dlp_rule_9",dlp,bob
"1534282289.000","dlp_rule_12",dlp,bob
"1534292831.000","dlp_rule_14",dlp,bob
"1534296447.000","dlp_rule_10",dlp,bob
"1534310831.000","dlp_rule_15",dlp,bob
"1534313779.000","dlp_rule_1",dlp,chuck
"1534318422.000","dlp_rule_5",dlp,bob
"1534321932.000","dlp_rule_15",dlp,bob
"1534325439.000","dlp_rule_12",dlp,chuck
"1534325565.000","dlp_rule_1",dlp,chuck
"1534325892.000","dlp_rule_18",dlp,chuck
"1534332661.000","dlp_rule_8",dlp,bob
"1534332662.000","dlp_rule_11",dlp,bob
"1534333508.000","dlp_rule_9",dlp,bob
"1534344041.000","dlp_rule_14",dlp,bob
"1534354144.000","dlp_rule_3",dlp,bob
"1534368409.000","dlp_rule_2",dlp,bob
"1534368419.000","dlp_rule_17",dlp,bob
"1534368452.000","dlp_rule_15",dlp,bob
"1534368453.000","dlp_rule_19",dlp,bob
"1534368454.000","dlp_rule_7",dlp,bob
"1534378029.000","dlp_rule_11",dlp,chuck
"1534381919.000","dlp_rule_16",dlp,bob
"1534382370.000","dlp_rule_18",dlp,chuck
"1534385776.000","dlp_rule_2",dlp,bob
"1534389336.000","dlp_rule_20",dlp,bob
"1534392896.000","dlp_rule_14",dlp,chuck
"1534392897.000","dlp_rule_15",dlp,chuck
"1534392983.000","dlp_rule_20",dlp,bob
"1534394786.000","dlp_rule_15",dlp,bob
"1534395237.000","dlp_rule_2",dlp,chuck
"1534395497.000","dlp_rule_8",dlp,bob
"1534396537.000","dlp_rule_17",dlp,bob
"1534400148.000","dlp_rule_9",dlp,bob
"1534400282.000","dlp_rule_7",dlp,bob
"1534420582.000","dlp_rule_11",dlp,bob
"1534430394.000","dlp_rule_20",dlp,bob
"1534436835.000","dlp_rule_5",dlp,bob
"1534450748.000","dlp_rule_18",dlp,bob
"1534455514.000","dlp_rule_12",dlp,bob
"1534455515.000","dlp_rule_5",dlp,bob
"1534458879.000","dlp_rule_13",dlp,bob
"1534466114.000","dlp_rule_5",dlp,bob
"1534466936.000","dlp_rule_6",dlp,chuck
"1534468082.000","dlp_rule_8",dlp,chuck
"1534468083.000","dlp_rule_8",dlp,chuck
"1534469437.000","dlp_rule_7",dlp,bob
"1534473037.000","dlp_rule_9",dlp,bob
"1534476637.000","dlp_rule_3",dlp,bob
"1534480238.000","dlp_rule_17",dlp,bob
"1534481151.000","dlp_rule_18",dlp,chuck
"1534483820.000","dlp_rule_8",dlp,bob
"1534489011.000","dlp_rule_3",dlp,chuck
"1534493787.000","dlp_rule_9",dlp,chuck
"1534494253.000","dlp_rule_8",dlp,chuck
"1534506032.000","dlp_rule_6",dlp,bob
"1534510598.000","dlp_rule_3",dlp,bob
"1534514453.000","dlp_rule_10",dlp,bob
"1534514455.000","dlp_rule_13",dlp,bob
"1534514602.000","dlp_rule_5",dlp,bob
"1534514603.000","dlp_rule_15",dlp,bob
"1534541407.000","dlp_rule_2",dlp,bob
"1534541415.000","dlp_rule_3",dlp,bob
"1534541417.000","dlp_rule_13",dlp,bob
"1534544716.000","dlp_rule_12",dlp,bob
"1534552096.000","dlp_rule_1",dlp,bob
"1534555507.000","dlp_rule_12",dlp,bob
"1534566320.000","dlp_rule_4",dlp,bob
"1534574416.000","dlp_rule_8",dlp,bob
"1534578048.000","dlp_rule_1",dlp,bob
"1534586102.000","dlp_rule_5",dlp,bob
"1534593198.000","dlp_rule_17",dlp,bob
"1534600349.000","dlp_rule_19",dlp,bob
"1534604102.000","dlp_rule_8",dlp,bob
"1534608780.000","dlp_rule_4",dlp,bob
"1534628308.000","dlp_rule_11",dlp,bob
"1534628310.000","dlp_rule_19",dlp,bob
"1534628311.000","dlp_rule_20",dlp,bob
"1534639295.000","dlp_rule_13",dlp,bob
"1534640162.000","dlp_rule_14",dlp,bob
"1534643786.000","dlp_rule_2",dlp,bob
"1534644659.000","dlp_rule_14",dlp,chuck
"1534646918.000","dlp_rule_14",dlp,bob
"1534653114.000","dlp_rule_20",dlp,bob
"1534654313.000","dlp_rule_8",dlp,bob
"1534656715.000","dlp_rule_6",dlp,bob
"1534657913.000","dlp_rule_18",dlp,bob
"1534661514.000","dlp_rule_12",dlp,bob
"1534665244.000","dlp_rule_6",dlp,bob
"1534671945.000","dlp_rule_7",dlp,bob
"1534672962.000","dlp_rule_4",dlp,chuck
"1534675262.000","dlp_rule_17",dlp,bob
"1534678845.000","dlp_rule_14",dlp,bob
"1534693506.000","dlp_rule_9",dlp,bob
"1534700753.000","dlp_rule_6",dlp,bob
"1534707918.000","dlp_rule_8",dlp,bob
"1534714020.000","dlp_rule_12",dlp,bob
"1534714022.000","dlp_rule_10",dlp,bob
"1534714023.000","dlp_rule_6",dlp,bob
"1534714024.000","dlp_rule_14",dlp,bob
"1534717313.000","dlp_rule_9",dlp,bob
"1534719945.000","dlp_rule_19",dlp,bob
"1534719964.000","dlp_rule_9",dlp,bob
"1534720836.000","dlp_rule_1",dlp,chuck
"1534722724.000","dlp_rule_6",dlp,bob
"1534724127.000","dlp_rule_5",dlp,chuck
"1534724130.000","dlp_rule_15",dlp,chuck
"1534724233.000","dlp_rule_19",dlp,chuck
"1534724233.000","dlp_rule_12",dlp,chuck
"1534724299.000","dlp_rule_18",dlp,chuck
"1534724299.000","dlp_rule_19",dlp,chuck
"1534724299.000","dlp_rule_18",dlp,chuck
"1534724371.000","dlp_rule_12",dlp,chuck
"1534724372.000","dlp_rule_16",dlp,chuck
"1534724454.000","dlp_rule_18",dlp,chuck
"1534724455.000","dlp_rule_2",dlp,chuck
"1534724455.000","dlp_rule_20",dlp,chuck
"1534724513.000","dlp_rule_6",dlp,bob
"1534724889.000","dlp_rule_10",dlp,chuck
"1534724889.000","dlp_rule_5",dlp,chuck
"1534725211.000","dlp_rule_1",dlp,chuck
"1534725211.000","dlp_rule_13",dlp,chuck
"1534725356.000","dlp_rule_14",dlp,chuck
"1534730936.000","dlp_rule_12",dlp,bob
"1534731714.000","dlp_rule_20",dlp,bob
"1534741884.000","dlp_rule_17",dlp,chuck
"1534742332.000","dlp_rule_6",dlp,chuck
"1534743408.000","dlp_rule_3",dlp,chuck
"1534751863.000","dlp_rule_9",dlp,chuck
"1534766009.000","dlp_rule_3",dlp,bob
"1534780206.000","dlp_rule_4",dlp,bob
"1534788889.000","dlp_rule_19",dlp,bob
"1534790162.000","dlp_rule_13",dlp,bob
"1534796770.000","dlp_rule_3",dlp,bob
"1534796771.000","dlp_rule_11",dlp,bob
"1534796771.000","dlp_rule_1",dlp,bob
"1534796801.000","dlp_rule_19",dlp,bob
"1534796801.000","dlp_rule_6",dlp,bob
"1534796802.000","dlp_rule_20",dlp,bob
"1534796802.000","dlp_rule_8",dlp,bob
"1534796803.000","dlp_rule_9",dlp,bob
"1534796804.000","dlp_rule_16",dlp,bob
"1534797361.000","dlp_rule_14",dlp,bob
"1534800962.000","dlp_rule_4",dlp,bob
"1534802867.000","dlp_rule_1",dlp,chuck
"1534802867.000","dlp_rule_8",dlp,chuck
"1534802873.000","dlp_rule_8",dlp,chuck
"1534802875.000","dlp_rule_19",dlp,chuck
"1534802876.000","dlp_rule_7",dlp,chuck
"1534802876.000","dlp_rule_7",dlp,chuck
"1534802876.000","dlp_rule_13",dlp,chuck
"1534802878.000","dlp_rule_3",dlp,chuck
"1534802878.000","dlp_rule_16",dlp,chuck
"1534802882.000","dlp_rule_13",dlp,chuck
"1534802884.000","dlp_rule_10",dlp,chuck
"1534802885.000","dlp_rule_19",dlp,chuck
"1534802886.000","dlp_rule_2",dlp,chuck
"1534802886.000","dlp_rule_19",dlp,chuck
"1534802887.000","dlp_rule_8",dlp,chuck
"1534802891.000","dlp_rule_5",dlp,chuck
"1534802895.000","dlp_rule_16",dlp,chuck
"1534802895.000","dlp_rule_13",dlp,chuck
"1534802895.000","dlp_rule_7",dlp,chuck
"1534802895.000","dlp_rule_11",dlp,chuck
"1534802897.000","dlp_rule_13",dlp,chuck
"1534802897.000","dlp_rule_10",dlp,chuck
"1534802900.000","dlp_rule_2",dlp,chuck
"1534802901.000","dlp_rule_11",dlp,chuck
"1534802901.000","dlp_rule_13",dlp,chuck
"1534802904.000","dlp_rule_11",dlp,chuck
"1534802904.000","dlp_rule_17",dlp,chuck
"1534802904.000","dlp_rule_8",dlp,chuck
"1534802907.000","dlp_rule_10",dlp,chuck
"1534802907.000","dlp_rule_7",dlp,chuck
"1534802912.000","dlp_rule_8",dlp,chuck
"1534802914.000","dlp_rule_14",dlp,chuck
"1534802914.000","dlp_rule_14",dlp,chuck
"1534802914.000","dlp_rule_17",dlp,chuck
"1534802914.000","dlp_rule_18",dlp,chuck
"1534802917.000","dlp_rule_4",dlp,chuck
"1534802920.000","dlp_rule_10",dlp,chuck
"1534802927.000","dlp_rule_3",dlp,chuck
"1534802934.000","dlp_rule_2",dlp,chuck
"1534802936.000","dlp_rule_13",dlp,chuck
"1534802946.000","dlp_rule_7",dlp,chuck
"1534802948.000","dlp_rule_2",dlp,chuck
"1534802949.000","dlp_rule_4",dlp,chuck
"1534802952.000","dlp_rule_3",dlp,chuck
"1534802952.000","dlp_rule_19",dlp,chuck
"1534802971.000","dlp_rule_16",dlp,chuck
"1534803023.000","dlp_rule_6",dlp,chuck
"1534803075.000","dlp_rule_5",dlp,chuck
"1534803076.000","dlp_rule_6",dlp,chuck
"1534803076.000","dlp_rule_10",dlp,chuck
"1534803081.000","dlp_rule_8",dlp,chuck
"1534803081.000","dlp_rule_10",dlp,chuck
"1534803083.000","dlp_rule_1",dlp,chuck
"1534803083.000","dlp_rule_15",dlp,chuck
"1534803087.000","dlp_rule_15",dlp,chuck
"1534803096.000","dlp_rule_19",dlp,chuck
"1534803096.000","dlp_rule_7",dlp,chuck
"1534803098.000","dlp_rule_5",dlp,chuck
"1534803103.000","dlp_rule_4",dlp,chuck
"1534803103.000","dlp_rule_5",dlp,chuck
"1534803105.000","dlp_rule_11",dlp,chuck
"1534803105.000","dlp_rule_6",dlp,chuck
"1534803106.000","dlp_rule_5",dlp,chuck
"1534803114.000","dlp_rule_17",dlp,chuck
"1534803114.000","dlp_rule_19",dlp,chuck
"1534803119.000","dlp_rule_12",dlp,chuck
"1534803124.000","dlp_rule_16",dlp,chuck
"1534803126.000","dlp_rule_13",dlp,chuck
"1534803129.000","dlp_rule_14",dlp,chuck
"1534803137.000","dlp_rule_4",dlp,chuck
"1534803137.000","dlp_rule_10",dlp,chuck
"1534803146.000","dlp_rule_8",dlp,chuck
"1534803146.000","dlp_rule_16",dlp,chuck
"1534803154.000","dlp_rule_11",dlp,chuck
"1534803154.000","dlp_rule_14",dlp,chuck
"1534803158.000","dlp_rule_20",dlp,chuck
"1534803163.000","dlp_rule_9",dlp,chuck
"1534803163.000","dlp_rule_8",dlp,chuck
"1534803165.000","dlp_rule_17",dlp,chuck
"1534803177.000","dlp_rule_3",dlp,chuck
"1534803183.000","dlp_rule_19",dlp,chuck
"1534803185.000","dlp_rule_11",dlp,chuck
"1534803185.000","dlp_rule_6",dlp,chuck
"1534803192.000","dlp_rule_14",dlp,chuck
